Country,Currency,Code,Start date,End date,Conversion,Note
LT,Lithuanian Litas,LTL,25/06/1993,14/01/2014,1 LTL = 100 LTT,
LT,Euro,EUR,01/01/2015,,1 EUR = 3.4528 LTL,
LU,Luxembourg Franc,LUF,1854,28/02/2002,1 LUF = 1 BEF [1.25 from 1935-04-01 to 1944-09-04],
LU,German Reichsmark,DER,01/07/1940,04/09/1944,1 DER = 10 LUF,German occupation
LU,Euro,EUR,01/01/1999,,1 EUR = 40.3399 LUF,
MT,Pound Sterling,GBP,1825,1972,,
MT,Maltese Pound,MTP,13/08/1914,1972,1 MTP = 1 GBP,
MT,Maltese Lira,MTL,1972,31/01/2008,1 MTL = 1 MTP,
MT,Euro,EUR,01/01/2008,,1 EUR = 0.4293 MTL,
MC,French Franc Germinal,FRG,1803-04-07,31/12/1959,,
MC,French Franc,FRF,01/01/1960,17/02/2002,1 FRF = 100 FRG,
MC,Euro,EUR,01/01/1999,,1 EUR = 6.55957 FRF,
ME,Ottoman Empire Lira,XOL,1844,1913,,Parts of Montenegro (Turkish)
ME,Montenegrin Krone,MEK,1852,1910,1 MEK = 1 FRG = 1 ATK,
ME,Montenegrin Perper,MEP,1910,1916,1 MEP = 1 MEK,
ME,Austro-Hungarian Kronen,ATK,1916,12/11/1918,1 ATK = 0.5 ATG,Austro-Hungarian occupation
ME,Yugoslavian Kronen,YUK,12/11/1918,1919,1 YUK = 1 ATK = 1 MEP,Yugoslavia
ME,Yugoslavian Dinar (Pre-World War II),YUS,25/12/1918,17/04/1941,1 YUS = 4 YUK,Yugoslavia
ME,Italian Lira,ITL,17/04/1941,1943,1 ITL = 100/38 YUS,Italian occupation
ME,German Reichsmark,DER,1943,1944,1 DER = 20 YUS,German occupation
ME,Yugoslav Federation Dinar,YUF,1944,31/12/1965,1 YUF = 20 YUS,Yugoslavia
ME,"Yugoslav ""Hard"" Dinar",YUD,01/01/1966,01/01/1990,1 YUD = 100 YUF,Yugoslavia
ME,"Yugoslav ""Convertible"" Dinar",YUN,01/01/1990,01/07/1992,"1 YUN = 10,000 YUD",Yugoslavia
ME,"Yugoslav ""Reformed"" Dinar",YUR,01/07/1992,01/10/1993,1 YUR = 10 YUN,Serbia and Montenegro
ME,"Yugoslav ""October"" Dinar",YUO,01/10/1993,01/01/1994,"1 YUO = 1,000,000 YUR",Serbia and Montenegro
ME,"Yugoslav ""1994"" Dinar",YUG,01/01/1994,24/01/1994,"1 YUG = 1,000,000,000 YUO",Serbia and Montenegro
ME,New Dinar,YUM,24/01/1994,13/11/2000,"1 YUM = 1 DEM ≈ 13,000,000 YUG",Serbia and Montenegro
ME,Deutsche Mark,DEM,06/11/1999,09/03/2002,1 DEM = 5.9908 YUM,
ME,Euro,EUR,01/01/2002,,1 EUR = 1.95883 DEM,
NL,Netherlands Guilder,NLG,1795,28/02/2002,,
NL,German Reichsmark,DER,01/07/1940,01/09/1944,2 DER = 1.5 NLG,German occupation
NL,Euro,EUR,01/01/1999,,1 EUR = 2.20371 NLG,
MK,Ottoman Empire Lira,XOL,1844,1913,,Ottoman Empire
MK,Serbian Dinar (Pre-World War I),SRD,1913,1916,1 SRD ≈ 0.041 XOL,Serbia
MK,Austro-Hungarian Kronen,ATK,1916,12/11/1918,1 ATK = 0.5 ATG,Austro-Hungarian occupation
MK,Yugoslavian Kronen,YUK,12/11/1918,1919,1 YUK = 1 ATK = 0.25 SRD,Yugoslavia
MK,Yugoslavian Dinar (Pre-World War II),YUS,25/12/1918,17/04/1941,1 YUS = 4 YUK,Yugoslavia
MK,Italian Lira,ITL,17/04/1941,1943,1 ITL = 100/38 YUS,Italian occupation
MK,Old Lev,BGJ,17/04/1941,1944,1 BGJ = 5/8 YUS,Bulgarian occupation
MK,Serbian Dinar (World War II),SRW,17/04/1941,30/04/1945,1 SRW = 0.38 ITL = 0.05 DER = 1 YUS = 1.6 BGJ,German occupation
MK,Yugoslav Federation Dinar,YUF,30/04/1945,31/12/1965,1 YUF = 20 SRW = 20 YUS,Yugoslavia
MK,"Yugoslav ""Hard"" Dinar",YUD,01/01/1966,01/01/1990,1 YUD = 100 YUF,Yugoslavia
MK,"Yugoslav ""Convertible"" Dinar",YUN,01/01/1990,26/04/1992,"1 YUN = 10,000 YUD",Yugoslavia
MK,Old Denar,MKN,26/04/1992,20/05/1993,1 MKN = 1 YUN,
MK,Denar,MKD,20/05/1993,,1 MKD = 100 MKN,
NO,Riksdaler Riksmynt,SEM,1855-02-03,1873-05-27,,Sweden-Norway
NO,Swedish Krona,SEK,1873-05-27,07/06/1905,1 SEK = 1 SEM,Sweden-Norway
NO,Norwegian Krone,NOK,07/06/1905,,1 NOK = 1 SEK,
NO,German Reichsmark,DER,30/04/1940,08/05/1945,0.6 DER = 1 NOK,German occupation
PL,Russian Paper Ruble,RUP,1843-06-01,1918,,Russia
PL,German Paper Mark,DEP,1914,1916,1 DEP = 2 RUP,German occupation
PL,Austro-Hungarian Gulden,ATG,1867,1892-08-02,1 ATG = 2.5 FRG,Austria-Hungary
PL,Austro-Hungarian Kronen,ATK,1892-08-02,1918,1 ATK = 0.5 ATG,Austria-Hungary
PL,Polish Marka,PLM,09/12/1916,01/04/1924,1 PLM = 1 DEP = 10/7 ATK = 2 RUP,
PL,Zloty (Pre-World War II),PLO,29/04/1924,01/05/1940,"1 PLO = 1,800,000 PLM = 1 CHF",
PL,"""Cracow"" Zloty",PLK,01/05/1940,01/03/1945,1 PLK = 1 PLO,German occupation
PL,German Reichsmark,DER,01/10/1939,01/03/1945,1 DER = 2 PLO,German annexation
PL,Soviet Gold Ruble,SUG,01/10/1939,01/09/1941,1 SUG = 1 PLO,Soviet occupation
